title,company,location,skills_required,domain,stipend,duration,description
Cloud Engineering Intern,NexusAI 9,Mumbai,"AWS, Azure, Docker, Kubernetes, GCP, Linux",Cloud,14000,4 months,"Cloud Engineering Intern at NexusAI 9 in Mumbai. Focus on cloud projects with AWS, Azure, Docker, Kubernetes, GCP."
Computer Vision Intern,QuantifyX 9,Noida,"Object Detection, PyTorch, Image Processing, OpenCV, Python, CNN, CI/CD, Bash",Computer Vision,15000,5 months,"Computer Vision Intern at QuantifyX 9 in Noida. Focus on computer vision projects with Object Detection, PyTorch, Image Processing, OpenCV, Python."
Security Engineering Intern,TechCorp 10,Gurugram,"Network Security, OAuth, IAM, SAST, Feature Engineering, CSS",Security,16000,2 months,"Security Engineering Intern at TechCorp 10 in Gurugram. Focus on security projects with Network Security, OAuth, IAM, SAST, Feature Engineering."
Product Analytics Intern,Analytics Hub 10,Kolkata,"Power BI, Statistics, Tableau, Excel, A/B Testing, CSS, Django",Analytics,17000,3 months,"Product Analytics Intern at Analytics Hub 10 in Kolkata. Focus on analytics projects with Power BI, Statistics, Tableau, Excel, A/B Testing."
Machine Learning Intern,AI Lab 10,Bangalore,"TensorFlow, A/B Testing, NumPy, pandas, Python, PyTorch, CNN, Analytical Thinking",AI/ML,18000,4 months,"Machine Learning Intern at AI Lab 10 in Bangalore. Focus on ai/ml projects with TensorFlow, A/B Testing, NumPy, pandas, Python."
Data Science Intern,StartupXYZ 10,Hyderabad,"Spark, pandas, SQL, Power BI, Statistics",Data Science,19000,5 months,"Data Science Intern at StartupXYZ 10 in Hyderabad. Focus on data science projects with Spark, pandas, SQL, Power BI, Statistics."
NLP Research Intern,VisionTech 10,Pune,"BERT, Python, spaCy, NLTK, Embeddings",NLP,20000,2 months,"NLP Research Intern at VisionTech 10 in Pune. Focus on nlp projects with BERT, Python, spaCy, NLTK, Embeddings."
Backend Developer Intern,CloudNine 10,Chennai,"Django, Python, REST APIs, FastAPI, PostgreSQL, Docker, CI/CD",Backend,21000,3 months,"Backend Developer Intern at CloudNine 10 in Chennai. Focus on backend projects with Django, Python, REST APIs, FastAPI, PostgreSQL."
Frontend Developer Intern,DataForge 10,Remote,"HTML, CSS, TypeScript, Next.js, Analytical Thinking, A/B Testing",Frontend,22000,4 months,"Frontend Developer Intern at DataForge 10 in Remote. Focus on frontend projects with HTML, CSS, TypeScript, Next.js, Analytical Thinking."
DevOps Intern,NextGen Systems 10,Delhi,"AWS, Linux, CI/CD, Monitoring, Kubernetes, REST APIs",DevOps,23000,5 months,"DevOps Intern at NextGen Systems 10 in Delhi. Focus on devops projects with AWS, Linux, CI/CD, Monitoring, Kubernetes."
Cloud Engineering Intern,InnoSoft 10,Mumbai,"AWS, GCP, Docker, Terraform, Kubernetes, Azure, PostgreSQL",Cloud,24000,2 months,"Cloud Engineering Intern at InnoSoft 10 in Mumbai. Focus on cloud projects with AWS, GCP, Docker, Terraform, Kubernetes."
Computer Vision Intern,BrightEdge 10,Noida,"Image Processing, Python, OpenCV, Object Detection, Feature Engineering, CI/CD",Computer Vision,25000,3 months,"Computer Vision Intern at BrightEdge 10 in Noida. Focus on computer vision projects with Image Processing, Python, OpenCV, Object Detection, Feature Engineering."
Security Engineering Intern,NexusAI 10,Gurugram,"Secure Coding, OAuth, SAST, IAM, Threat Modeling, Flask, Bash",Security,26000,4 months,"Security Engineering Intern at NexusAI 10 in Gurugram. Focus on security projects with Secure Coding, OAuth, SAST, IAM, Threat Modeling."
Product Analytics Intern,QuantifyX 10,Kolkata,"Statistics, Power BI, A/B Testing, Excel, Tableau, SQL, CI/CD, Feature Engineering",Analytics,27000,5 months,"Product Analytics Intern at QuantifyX 10 in Kolkata. Focus on analytics projects with Statistics, Power BI, A/B Testing, Excel, Tableau."
Machine Learning Intern,TechCorp 11,Bangalore,"Python, pandas, Matplotlib, Feature Engineering, BERT, C++",AI/ML,28000,2 months,"Machine Learning Intern at TechCorp 11 in Bangalore. Focus on ai/ml projects with Python, pandas, Matplotlib, Feature Engineering, BERT."
Data Science Intern,Analytics Hub 11,Hyderabad,"SQL, pandas, Spark, Power BI, Statistics, Tableau",Data Science,29000,3 months,"Data Science Intern at Analytics Hub 11 in Hyderabad. Focus on data science projects with SQL, pandas, Spark, Power BI, Statistics."
NLP Research Intern,AI Lab 11,Pune,"Python, Transformers, RAG, BERT, Embeddings, spaCy",NLP,30000,4 months,"NLP Research Intern at AI Lab 11 in Pune. Focus on nlp projects with Python, Transformers, RAG, BERT, Embeddings."
Backend Developer Intern,StartupXYZ 11,Chennai,"Django, Docker, Microservices, PostgreSQL, AWS",Backend,31000,5 months,"Backend Developer Intern at StartupXYZ 11 in Chennai. Focus on backend projects with Django, Docker, Microservices, PostgreSQL, AWS."
Frontend Developer Intern,VisionTech 11,Remote,"Next.js, React, CSS, HTML, TypeScript, Communication, Analytical Thinking",Frontend,32000,2 months,"Frontend Developer Intern at VisionTech 11 in Remote. Focus on frontend projects with Next.js, React, CSS, HTML, TypeScript."
DevOps Intern,CloudNine 11,Delhi,"AWS, Kubernetes, Terraform, Linux, Docker, CI/CD",DevOps,8000,3 months,"DevOps Intern at CloudNine 11 in Delhi. Focus on devops projects with AWS, Kubernetes, Terraform, Linux, Docker."
Cloud Engineering Intern,DataForge 11,Mumbai,"Terraform, GCP, Kubernetes, Linux, PostgreSQL, Docker",Cloud,9000,4 months,"Cloud Engineering Intern at DataForge 11 in Mumbai. Focus on cloud projects with Terraform, GCP, Kubernetes, Linux, PostgreSQL."
Computer Vision Intern,NextGen Systems 11,Noida,"PyTorch, CNN, Object Detection, OpenCV, Image Processing, Django, Airflow",Computer Vision,10000,5 months,"Computer Vision Intern at NextGen Systems 11 in Noida. Focus on computer vision projects with PyTorch, CNN, Object Detection, OpenCV, Image Processing."
Security Engineering Intern,InnoSoft 11,Gurugram,"Threat Modeling, Secure Coding, Network Security, IAM, OAuth, SAST, A/B Testing, Airflow",Security,11000,2 months,"Security Engineering Intern at InnoSoft 11 in Gurugram. Focus on security projects with Threat Modeling, Secure Coding, Network Security, IAM, OAuth."
Product Analytics Intern,BrightEdge 11,Kolkata,"Excel, Statistics, SQL, Tableau, C++, Feature Engineering",Analytics,12000,3 months,"Product Analytics Intern at BrightEdge 11 in Kolkata. Focus on analytics projects with Excel, Statistics, SQL, Tableau, C++."
Machine Learning Intern,NexusAI 11,Bangalore,"Python, NumPy, scikit-learn, TensorFlow, Matplotlib, C++, Azure",AI/ML,13000,4 months,"Machine Learning Intern at NexusAI 11 in Bangalore. Focus on ai/ml projects with Python, NumPy, scikit-learn, TensorFlow, Matplotlib."
Data Science Intern,QuantifyX 11,Hyderabad,"Power BI, Visualization, Python, NumPy, pandas, Tableau, Statistics",Data Science,14000,5 months,"Data Science Intern at QuantifyX 11 in Hyderabad. Focus on data science projects with Power BI, Visualization, Python, NumPy, pandas."
NLP Research Intern,TechCorp 12,Pune,"spaCy, RAG, Prompt Engineering, NLTK",NLP,15000,2 months,"NLP Research Intern at TechCorp 12 in Pune. Focus on nlp projects with spaCy, RAG, Prompt Engineering, NLTK."
Backend Developer Intern,Analytics Hub 12,Chennai,"Django, Docker, PostgreSQL, Python, FastAPI, REST APIs",Backend,16000,3 months,"Backend Developer Intern at Analytics Hub 12 in Chennai. Focus on backend projects with Django, Docker, PostgreSQL, Python, FastAPI."
Frontend Developer Intern,AI Lab 12,Remote,"HTML, React, JavaScript, Next.js, CSS, Tailwind CSS, FastAPI, Django",Frontend,17000,4 months,"Frontend Developer Intern at AI Lab 12 in Remote. Focus on frontend projects with HTML, React, JavaScript, Next.js, CSS."
DevOps Intern,StartupXYZ 12,Delhi,"CI/CD, Docker, Kubernetes, Linux, PostgreSQL",DevOps,18000,5 months,"DevOps Intern at StartupXYZ 12 in Delhi. Focus on devops projects with CI/CD, Docker, Kubernetes, Linux, PostgreSQL."
Cloud Engineering Intern,VisionTech 12,Mumbai,"Linux, Docker, AWS, Azure, Terraform, CI/CD",Cloud,19000,2 months,"Cloud Engineering Intern at VisionTech 12 in Mumbai. Focus on cloud projects with Linux, Docker, AWS, Azure, Terraform."
Computer Vision Intern,CloudNine 12,Noida,"CNN, PyTorch, Image Processing, Python, Object Detection, OpenCV, Azure, CI/CD",Computer Vision,20000,3 months,"Computer Vision Intern at CloudNine 12 in Noida. Focus on computer vision projects with CNN, PyTorch, Image Processing, Python, Object Detection."
Security Engineering Intern,DataForge 12,Gurugram,"Threat Modeling, Secure Coding, Network Security, SAST, Bash, Analytical Thinking",Security,21000,4 months,"Security Engineering Intern at DataForge 12 in Gurugram. Focus on security projects with Threat Modeling, Secure Coding, Network Security, SAST, Bash."
Product Analytics Intern,NextGen Systems 12,Kolkata,"Power BI, SQL, Excel, A/B Testing, Tableau, Embeddings, C++",Analytics,22000,5 months,"Product Analytics Intern at NextGen Systems 12 in Kolkata. Focus on analytics projects with Power BI, SQL, Excel, A/B Testing, Tableau."
Machine Learning Intern,InnoSoft 12,Bangalore,"Matplotlib, Feature Engineering, scikit-learn, pandas, A/B Testing, PyTorch, Celery, BERT",AI/ML,23000,2 months,"Machine Learning Intern at InnoSoft 12 in Bangalore. Focus on ai/ml projects with Matplotlib, Feature Engineering, scikit-learn, pandas, A/B Testing."
Data Science Intern,BrightEdge 12,Hyderabad,"Spark, pandas, Power BI, Python, Statistics",Data Science,24000,3 months,"Data Science Intern at BrightEdge 12 in Hyderabad. Focus on data science projects with Spark, pandas, Power BI, Python, Statistics."
NLP Research Intern,NexusAI 12,Pune,"Embeddings, RAG, BERT, NLTK, Python, Prompt Engineering",NLP,25000,4 months,"NLP Research Intern at NexusAI 12 in Pune. Focus on nlp projects with Embeddings, RAG, BERT, NLTK, Python."
Backend Developer Intern,QuantifyX 12,Chennai,"Microservices, REST APIs, Docker, PostgreSQL, Python, FastAPI, CI/CD",Backend,26000,5 months,"Backend Developer Intern at QuantifyX 12 in Chennai. Focus on backend projects with Microservices, REST APIs, Docker, PostgreSQL, Python."
Frontend Developer Intern,TechCorp 13,Remote,"CSS, React, HTML, UI/UX, Celery, Django",Frontend,27000,2 months,"Frontend Developer Intern at TechCorp 13 in Remote. Focus on frontend projects with CSS, React, HTML, UI/UX, Celery."
DevOps Intern,Analytics Hub 13,Delhi,"Linux, Kubernetes, Terraform, CI/CD, Docker, PostgreSQL",DevOps,28000,3 months,"DevOps Intern at Analytics Hub 13 in Delhi. Focus on devops projects with Linux, Kubernetes, Terraform, CI/CD, Docker."
Cloud Engineering Intern,AI Lab 13,Mumbai,"AWS, GCP, Docker, Kubernetes, Azure, Terraform, PostgreSQL",Cloud,29000,4 months,"Cloud Engineering Intern at AI Lab 13 in Mumbai. Focus on cloud projects with AWS, GCP, Docker, Kubernetes, Azure."
Computer Vision Intern,StartupXYZ 13,Noida,"OpenCV, Image Processing, CNN, Python, Django, Analytical Thinking",Computer Vision,30000,5 months,"Computer Vision Intern at StartupXYZ 13 in Noida. Focus on computer vision projects with OpenCV, Image Processing, CNN, Python, Django."
Security Engineering Intern,VisionTech 13,Gurugram,"Threat Modeling, Network Security, Secure Coding, IAM, SAST, Communication, Ansible",Security,31000,2 months,"Security Engineering Intern at VisionTech 13 in Gurugram. Focus on security projects with Threat Modeling, Network Security, Secure Coding, IAM, SAST."
Product Analytics Intern,CloudNine 13,Kolkata,"SQL, Power BI, Tableau, Excel, Statistics, A/B Testing, CNN, FastAPI",Analytics,32000,3 months,"Product Analytics Intern at CloudNine 13 in Kolkata. Focus on analytics projects with SQL, Power BI, Tableau, Excel, Statistics."
Machine Learning Intern,DataForge 13,Bangalore,"Matplotlib, PyTorch, Feature Engineering, A/B Testing, Docker, FastAPI",AI/ML,8000,4 months,"Machine Learning Intern at DataForge 13 in Bangalore. Focus on ai/ml projects with Matplotlib, PyTorch, Feature Engineering, A/B Testing, Docker."
Data Science Intern,NextGen Systems 13,Hyderabad,"Python, SQL, Visualization, Tableau, pandas",Data Science,9000,5 months,"Data Science Intern at NextGen Systems 13 in Hyderabad. Focus on data science projects with Python, SQL, Visualization, Tableau, pandas."
NLP Research Intern,InnoSoft 13,Pune,"RAG, Python, Embeddings, Prompt Engineering, Transformers, BERT",NLP,10000,2 months,"NLP Research Intern at InnoSoft 13 in Pune. Focus on nlp projects with RAG, Python, Embeddings, Prompt Engineering, Transformers."
Backend Developer Intern,BrightEdge 13,Chennai,"Python, Django, Microservices, Docker, REST APIs, Kubernetes",Backend,11000,3 months,"Backend Developer Intern at BrightEdge 13 in Chennai. Focus on backend projects with Python, Django, Microservices, Docker, REST APIs."
Frontend Developer Intern,NexusAI 13,Remote,"Tailwind CSS, TypeScript, UI/UX, HTML, Next.js, Feature Engineering, Azure",Frontend,12000,4 months,"Frontend Developer Intern at NexusAI 13 in Remote. Focus on frontend projects with Tailwind CSS, TypeScript, UI/UX, HTML, Next.js."
DevOps Intern,QuantifyX 13,Delhi,"Kubernetes, Monitoring, Docker, CI/CD, Linux, AWS, PostgreSQL",DevOps,13000,5 months,"DevOps Intern at QuantifyX 13 in Delhi. Focus on devops projects with Kubernetes, Monitoring, Docker, CI/CD, Linux."
Cloud Engineering Intern,TechCorp 14,Mumbai,"Azure, Terraform, Docker, GCP, PostgreSQL, REST APIs",Cloud,14000,2 months,"Cloud Engineering Intern at TechCorp 14 in Mumbai. Focus on cloud projects with Azure, Terraform, Docker, GCP, PostgreSQL."
Computer Vision Intern,Analytics Hub 14,Noida,"Object Detection, Python, PyTorch, OpenCV, Image Processing, Airflow, Django",Computer Vision,15000,3 months,"Computer Vision Intern at Analytics Hub 14 in Noida. Focus on computer vision projects with Object Detection, Python, PyTorch, OpenCV, Image Processing."
Security Engineering Intern,AI Lab 14,Gurugram,"IAM, Threat Modeling, SAST, Network Security, OAuth, Secure Coding, Django, CI/CD",Security,16000,4 months,"Security Engineering Intern at AI Lab 14 in Gurugram. Focus on security projects with IAM, Threat Modeling, SAST, Network Security, OAuth."
Product Analytics Intern,StartupXYZ 14,Kolkata,"Excel, Power BI, Statistics, SQL, Bash, Celery",Analytics,17000,5 months,"Product Analytics Intern at StartupXYZ 14 in Kolkata. Focus on analytics projects with Excel, Power BI, Statistics, SQL, Bash."
Machine Learning Intern,VisionTech 14,Bangalore,"PyTorch, TensorFlow, A/B Testing, NumPy, Python, Celery, C++",AI/ML,18000,2 months,"Machine Learning Intern at VisionTech 14 in Bangalore. Focus on ai/ml projects with PyTorch, TensorFlow, A/B Testing, NumPy, Python."
Data Science Intern,CloudNine 14,Hyderabad,"Python, Spark, Statistics, Tableau, NumPy, pandas",Data Science,19000,3 months,"Data Science Intern at CloudNine 14 in Hyderabad. Focus on data science projects with Python, Spark, Statistics, Tableau, NumPy."
NLP Research Intern,DataForge 14,Pune,"Transformers, Embeddings, spaCy, BERT, Python",NLP,20000,4 months,"NLP Research Intern at DataForge 14 in Pune. Focus on nlp projects with Transformers, Embeddings, spaCy, BERT, Python."
Backend Developer Intern,NextGen Systems 14,Chennai,"Docker, Python, Microservices, Django, FastAPI, CI/CD",Backend,21000,5 months,"Backend Developer Intern at NextGen Systems 14 in Chennai. Focus on backend projects with Docker, Python, Microservices, Django, FastAPI."
Frontend Developer Intern,InnoSoft 14,Remote,"CSS, UI/UX, TypeScript, JavaScript, React, Tailwind CSS, Communication, Azure",Frontend,22000,2 months,"Frontend Developer Intern at InnoSoft 14 in Remote. Focus on frontend projects with CSS, UI/UX, TypeScript, JavaScript, React."
DevOps Intern,BrightEdge 14,Delhi,"Kubernetes, Monitoring, AWS, Linux, CI/CD",DevOps,23000,3 months,"DevOps Intern at BrightEdge 14 in Delhi. Focus on devops projects with Kubernetes, Monitoring, AWS, Linux, CI/CD."
Cloud Engineering Intern,NexusAI 14,Mumbai,"GCP, Azure, Terraform, Docker, Linux, AWS, REST APIs",Cloud,24000,4 months,"Cloud Engineering Intern at NexusAI 14 in Mumbai. Focus on cloud projects with GCP, Azure, Terraform, Docker, Linux."
Computer Vision Intern,QuantifyX 14,Noida,"Python, PyTorch, Object Detection, Image Processing, CNN, OpenCV, FastAPI, CSS",Computer Vision,25000,5 months,"Computer Vision Intern at QuantifyX 14 in Noida. Focus on computer vision projects with Python, PyTorch, Object Detection, Image Processing, CNN."
Security Engineering Intern,TechCorp 15,Gurugram,"Secure Coding, Network Security, SAST, OAuth, FastAPI, Analytical Thinking",Security,26000,2 months,"Security Engineering Intern at TechCorp 15 in Gurugram. Focus on security projects with Secure Coding, Network Security, SAST, OAuth, FastAPI."
Product Analytics Intern,Analytics Hub 15,Kolkata,"Power BI, Tableau, Statistics, A/B Testing, Excel, CSS, Analytical Thinking",Analytics,27000,3 months,"Product Analytics Intern at Analytics Hub 15 in Kolkata. Focus on analytics projects with Power BI, Tableau, Statistics, A/B Testing, Excel."
Machine Learning Intern,AI Lab 15,Bangalore,"scikit-learn, Feature Engineering, Python, TensorFlow, PyTorch, NumPy, Flask, Bash",AI/ML,28000,4 months,"Machine Learning Intern at AI Lab 15 in Bangalore. Focus on ai/ml projects with scikit-learn, Feature Engineering, Python, TensorFlow, PyTorch."
Data Science Intern,StartupXYZ 15,Hyderabad,"SQL, Visualization, Tableau, pandas",Data Science,29000,5 months,"Data Science Intern at StartupXYZ 15 in Hyderabad. Focus on data science projects with SQL, Visualization, Tableau, pandas."
NLP Research Intern,VisionTech 15,Pune,"NLTK, Python, RAG, Prompt Engineering, Transformers",NLP,30000,2 months,"NLP Research Intern at VisionTech 15 in Pune. Focus on nlp projects with NLTK, Python, RAG, Prompt Engineering, Transformers."
Backend Developer Intern,CloudNine 15,Chennai,"FastAPI, REST APIs, Microservices, PostgreSQL, Docker, Django, AWS, Kubernetes",Backend,31000,3 months,"Backend Developer Intern at CloudNine 15 in Chennai. Focus on backend projects with FastAPI, REST APIs, Microservices, PostgreSQL, Docker."
Frontend Developer Intern,DataForge 15,Remote,"Tailwind CSS, HTML, CSS, TypeScript, Communication, Analytical Thinking",Frontend,32000,4 months,"Frontend Developer Intern at DataForge 15 in Remote. Focus on frontend projects with Tailwind CSS, HTML, CSS, TypeScript, Communication."
DevOps Intern,NextGen Systems 15,Delhi,"Monitoring, CI/CD, AWS, Terraform, Kubernetes, Docker",DevOps,8000,5 months,"DevOps Intern at NextGen Systems 15 in Delhi. Focus on devops projects with Monitoring, CI/CD, AWS, Terraform, Kubernetes."
Cloud Engineering Intern,InnoSoft 15,Mumbai,"GCP, Azure, Docker, Kubernetes, AWS, Linux",Cloud,9000,2 months,"Cloud Engineering Intern at InnoSoft 15 in Mumbai. Focus on cloud projects with GCP, Azure, Docker, Kubernetes, AWS."
Computer Vision Intern,BrightEdge 15,Noida,"CNN, Image Processing, Object Detection, Python, Celery, C++",Computer Vision,10000,3 months,"Computer Vision Intern at BrightEdge 15 in Noida. Focus on computer vision projects with CNN, Image Processing, Object Detection, Python, Celery."
Security Engineering Intern,NexusAI 15,Gurugram,"OAuth, Secure Coding, Network Security, Threat Modeling, IAM, Flask, A/B Testing",Security,11000,4 months,"Security Engineering Intern at NexusAI 15 in Gurugram. Focus on security projects with OAuth, Secure Coding, Network Security, Threat Modeling, IAM."
Product Analytics Intern,QuantifyX 15,Kolkata,"SQL, Tableau, Excel, A/B Testing, Statistics, Power BI, FastAPI, BERT",Analytics,12000,5 months,"Product Analytics Intern at QuantifyX 15 in Kolkata. Focus on analytics projects with SQL, Tableau, Excel, A/B Testing, Statistics."
Machine Learning Intern,TechCorp 16,Bangalore,"scikit-learn, A/B Testing, NumPy, pandas, Flask",AI/ML,13000,2 months,"Machine Learning Intern at TechCorp 16 in Bangalore. Focus on ai/ml projects with scikit-learn, A/B Testing, NumPy, pandas, Flask."
Data Science Intern,Analytics Hub 16,Hyderabad,"Statistics, pandas, SQL, Spark, Visualization, Tableau",Data Science,14000,3 months,"Data Science Intern at Analytics Hub 16 in Hyderabad. Focus on data science projects with Statistics, pandas, SQL, Spark, Visualization."
NLP Research Intern,AI Lab 16,Pune,"Python, spaCy, Prompt Engineering, NLTK, RAG, BERT, Transformers",NLP,15000,4 months,"NLP Research Intern at AI Lab 16 in Pune. Focus on nlp projects with Python, spaCy, Prompt Engineering, NLTK, RAG."
Backend Developer Intern,StartupXYZ 16,Chennai,"FastAPI, Django, Python, Microservices, AWS, PostgreSQL",Backend,16000,5 months,"Backend Developer Intern at StartupXYZ 16 in Chennai. Focus on backend projects with FastAPI, Django, Python, Microservices, AWS."
Frontend Developer Intern,VisionTech 16,Remote,"TypeScript, CSS, JavaScript, Next.js, HTML, Embeddings",Frontend,17000,2 months,"Frontend Developer Intern at VisionTech 16 in Remote. Focus on frontend projects with TypeScript, CSS, JavaScript, Next.js, HTML."
DevOps Intern,CloudNine 16,Delhi,"AWS, Docker, CI/CD, Kubernetes, Linux, Terraform",DevOps,18000,3 months,"DevOps Intern at CloudNine 16 in Delhi. Focus on devops projects with AWS, Docker, CI/CD, Kubernetes, Linux."
Cloud Engineering Intern,DataForge 16,Mumbai,"Kubernetes, GCP, Docker, AWS, PostgreSQL",Cloud,19000,4 months,"Cloud Engineering Intern at DataForge 16 in Mumbai. Focus on cloud projects with Kubernetes, GCP, Docker, AWS, PostgreSQL."
Computer Vision Intern,NextGen Systems 16,Noida,"PyTorch, Object Detection, Python, OpenCV, CNN, Airflow, Flask",Computer Vision,20000,5 months,"Computer Vision Intern at NextGen Systems 16 in Noida. Focus on computer vision projects with PyTorch, Object Detection, Python, OpenCV, CNN."
Security Engineering Intern,InnoSoft 16,Gurugram,"IAM, Threat Modeling, OAuth, Secure Coding, SAST, Network Security, Flask, Feature Engineering",Security,21000,2 months,"Security Engineering Intern at InnoSoft 16 in Gurugram. Focus on security projects with IAM, Threat Modeling, OAuth, Secure Coding, SAST."
Product Analytics Intern,BrightEdge 16,Kolkata,"Statistics, Tableau, Power BI, A/B Testing, Embeddings, CI/CD",Analytics,22000,3 months,"Product Analytics Intern at BrightEdge 16 in Kolkata. Focus on analytics projects with Statistics, Tableau, Power BI, A/B Testing, Embeddings."
Machine Learning Intern,NexusAI 16,Bangalore,"Feature Engineering, Matplotlib, Python, PyTorch, A/B Testing, FastAPI, BERT",AI/ML,23000,4 months,"Machine Learning Intern at NexusAI 16 in Bangalore. Focus on ai/ml projects with Feature Engineering, Matplotlib, Python, PyTorch, A/B Testing."
Data Science Intern,QuantifyX 16,Hyderabad,"Power BI, Visualization, SQL, NumPy, pandas, Tableau",Data Science,24000,5 months,"Data Science Intern at QuantifyX 16 in Hyderabad. Focus on data science projects with Power BI, Visualization, SQL, NumPy, pandas."
NLP Research Intern,TechCorp 17,Pune,"spaCy, NLTK, Transformers, RAG, Python, Prompt Engineering",NLP,25000,2 months,"NLP Research Intern at TechCorp 17 in Pune. Focus on nlp projects with spaCy, NLTK, Transformers, RAG, Python."
Backend Developer Intern,Analytics Hub 17,Chennai,"FastAPI, Docker, PostgreSQL, Python, REST APIs, Kubernetes",Backend,26000,3 months,"Backend Developer Intern at Analytics Hub 17 in Chennai. Focus on backend projects with FastAPI, Docker, PostgreSQL, Python, REST APIs."
Frontend Developer Intern,AI Lab 17,Remote,"TypeScript, Next.js, JavaScript, React, UI/UX, HTML, AWS, Feature Engineering",Frontend,27000,4 months,"Frontend Developer Intern at AI Lab 17 in Remote. Focus on frontend projects with TypeScript, Next.js, JavaScript, React, UI/UX."
DevOps Intern,StartupXYZ 17,Delhi,"AWS, Monitoring, Linux, Docker, PostgreSQL, REST APIs",DevOps,28000,5 months,"DevOps Intern at StartupXYZ 17 in Delhi. Focus on devops projects with AWS, Monitoring, Linux, Docker, PostgreSQL."
Cloud Engineering Intern,VisionTech 17,Mumbai,"Terraform, Linux, Docker, AWS, Azure, CI/CD, REST APIs",Cloud,29000,2 months,"Cloud Engineering Intern at VisionTech 17 in Mumbai. Focus on cloud projects with Terraform, Linux, Docker, AWS, Azure."
Computer Vision Intern,CloudNine 17,Noida,"CNN, Python, OpenCV, Image Processing, PyTorch, Object Detection, Analytical Thinking, CSS",Computer Vision,30000,3 months,"Computer Vision Intern at CloudNine 17 in Noida. Focus on computer vision projects with CNN, Python, OpenCV, Image Processing, PyTorch."
Security Engineering Intern,DataForge 17,Gurugram,"Threat Modeling, IAM, Secure Coding, OAuth, Feature Engineering, Bash",Security,31000,4 months,"Security Engineering Intern at DataForge 17 in Gurugram. Focus on security projects with Threat Modeling, IAM, Secure Coding, OAuth, Feature Engineering."
Product Analytics Intern,NextGen Systems 17,Kolkata,"Power BI, Statistics, SQL, Tableau, Excel, A/B Testing, Azure",Analytics,32000,5 months,"Product Analytics Intern at NextGen Systems 17 in Kolkata. Focus on analytics projects with Power BI, Statistics, SQL, Tableau, Excel."
Machine Learning Intern,InnoSoft 17,Bangalore,"TensorFlow, A/B Testing, NumPy, Matplotlib, Python, pandas, Ansible, Feature Engineering",AI/ML,8000,2 months,"Machine Learning Intern at InnoSoft 17 in Bangalore. Focus on ai/ml projects with TensorFlow, A/B Testing, NumPy, Matplotlib, Python."
Data Science Intern,BrightEdge 17,Hyderabad,"Power BI, SQL, Visualization, Tableau, NumPy",Data Science,9000,3 months,"Data Science Intern at BrightEdge 17 in Hyderabad. Focus on data science projects with Power BI, SQL, Visualization, Tableau, NumPy."
NLP Research Intern,NexusAI 17,Pune,"Transformers, Prompt Engineering, RAG, Embeddings, NLTK, Python",NLP,10000,4 months,"NLP Research Intern at NexusAI 17 in Pune. Focus on nlp projects with Transformers, Prompt Engineering, RAG, Embeddings, NLTK."
Backend Developer Intern,QuantifyX 17,Chennai,"Django, Docker, Microservices, Python, PostgreSQL, REST APIs, Linux, CI/CD",Backend,11000,5 months,"Backend Developer Intern at QuantifyX 17 in Chennai. Focus on backend projects with Django, Docker, Microservices, Python, PostgreSQL."
Frontend Developer Intern,TechCorp 18,Remote,"JavaScript, CSS, UI/UX, React, Django, Communication",Frontend,12000,2 months,"Frontend Developer Intern at TechCorp 18 in Remote. Focus on frontend projects with JavaScript, CSS, UI/UX, React, Django."
DevOps Intern,Analytics Hub 18,Delhi,"CI/CD, AWS, Monitoring, Terraform, Kubernetes, Linux",DevOps,13000,3 months,"DevOps Intern at Analytics Hub 18 in Delhi. Focus on devops projects with CI/CD, AWS, Monitoring, Terraform, Kubernetes."
Cloud Engineering Intern,AI Lab 18,Mumbai,"AWS, GCP, Docker, Terraform, Azure, Linux, CI/CD",Cloud,14000,4 months,"Cloud Engineering Intern at AI Lab 18 in Mumbai. Focus on cloud projects with AWS, GCP, Docker, Terraform, Azure."
Computer Vision Intern,StartupXYZ 18,Noida,"CNN, Python, OpenCV, PyTorch, Flask, AWS",Computer Vision,15000,5 months,"Computer Vision Intern at StartupXYZ 18 in Noida. Focus on computer vision projects with CNN, Python, OpenCV, PyTorch, Flask."
Security Engineering Intern,VisionTech 18,Gurugram,"Secure Coding, OAuth, IAM, SAST, Network Security, C++, CI/CD",Security,16000,2 months,"Security Engineering Intern at VisionTech 18 in Gurugram. Focus on security projects with Secure Coding, OAuth, IAM, SAST, Network Security."
Product Analytics Intern,CloudNine 18,Kolkata,"Tableau, SQL, Statistics, Excel, A/B Testing, Power BI, Ansible, Celery",Analytics,17000,3 months,"Product Analytics Intern at CloudNine 18 in Kolkata. Focus on analytics projects with Tableau, SQL, Statistics, Excel, A/B Testing."
Machine Learning Intern,DataForge 18,Bangalore,"A/B Testing, scikit-learn, TensorFlow, Matplotlib, CSS, Airflow",AI/ML,18000,4 months,"Machine Learning Intern at DataForge 18 in Bangalore. Focus on ai/ml projects with A/B Testing, scikit-learn, TensorFlow, Matplotlib, CSS."
Data Science Intern,NextGen Systems 18,Hyderabad,"Power BI, Python, NumPy, Visualization, Spark, SQL, Statistics",Data Science,19000,5 months,"Data Science Intern at NextGen Systems 18 in Hyderabad. Focus on data science projects with Power BI, Python, NumPy, Visualization, Spark."
